Model, Balance Type,epochs,loss,accuracy
Neural, unbalanced,3,0.4845568537712097,0.7964010238647461
Neural, unbalanced,6,0.5256925821304321,0.7944117188453674
Neural, unbalanced,12,0.741361141204834,0.7861143946647644
Transformer,unbalanced,3,0.5139718055725098,0.7858760356903076
Neural, unbalanced,20,0.9400140643119812,0.7832351922988892
Neural, unbalanced,10,0.582832396030426,0.7827901840209961
Transformer,unbalanced,6,0.5771504044532776,0.7823031544685364
Transformer,unbalanced,10,1.2064696550369265,0.7395333051681519
Transformer,unbalanced,12,2.622164487838745,0.6903375387191772
Transformer,balanced,3,0.6561959385871887,0.6227545142173767
Transformer,balanced,6,0.8934988975524902,0.5859345197677612
Transformer,balanced,10,0.921593964099884,0.5684163570404053
Transformer,balanced,12,2.908616542816162,0.5615046620368958
Neural, balanced,3,0.7374716997146606,0.541198194026947
Neural, balanced,6,0.9213000535964966,0.5302736163139343
Neural, balanced,12,1.5477131605148315,0.5301461815834045
Neural, balanced,20,2.269190788269043,0.5268656015396118
Neural, balanced,10,1.2634562253952026,0.5259101390838623
